time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2025-08-08T10:30:00Z,70,69,1011.71,12.3,13.3,11.3
2025-08-07T20:00:00Z,37,93,1014.47,16.0,16.7,15.3
2025-08-07T07:00:00Z,67,71,1015.22,18.1,19.5,16.6
2025-08-07T02:30:00Z,56,75,1014.64,14.8,15.9,13.8
2025-08-07T03:00:00Z,58,74,1014.56,15.3,16.4,14.1
2025-05-21T10:00:00Z,64,66,1011.83,12.3,12.9,11.8
2025-05-21T11:30:00Z,64,65,1011.98,11.9,12.8,11.1
2025-07-22T22:30:00Z,43,83,1014.62,5.2,5.5,4.9
2025-07-22T01:00:00Z,52,77,1013.29,6.6,7.1,6.2
2025-07-22T18:30:00Z,34,92,1016.17,4.7,5.0,4.5
2025-05-11T08:30:00Z,60,69,1011.72,14.1,14.9,13.3
2025-06-08T07:00:00Z,64,66,1015.64,8.8,9.4,8.1
2025-06-08T06:30:00Z,63,66,1015.8,6.9,7.5,6.3
2025-06-08T22:30:00Z,41,82,1013.82,14.6,15.0,14.2
2025-06-10T13:30:00Z,60,70,1014.09,42.7,43.5,41.8
2025-06-14T16:00:00Z,51,77,1014.21,35.9,37.1,34.8
2025-06-14T01:00:00Z,48,78,1011.07,14.5,15.1,14.0
2025-06-14T02:30:00Z,55,73,1011.23,16.4,17.3,15.6
2025-06-14T13:30:00Z,58,72,1013.03,41.2,42.1,40.3
2025-08-01T23:00:00Z,46,83,1018.24,14.9,15.6,14.2
2025-08-01T22:30:00Z,46,84,1018.3,14.6,15.4,13.9
2025-08-01T20:30:00Z,38,89,1018.85,27.3,28.2,26.3
2025-05-24T17:00:00Z,46,77,1015.98,10.6,11.2,10.1
2025-07-01T17:30:00Z,31,90,1012.93,11.3,11.8,10.7
2025-07-01T14:00:00Z,57,70,1012.76,14.8,15.6,14.0
2025-07-01T19:00:00Z,32,90,1012.67,12.3,12.8,11.7
2025-07-01T13:00:00Z,60,68,1012.65,15.1,15.7,14.4
2025-07-31T10:00:00Z,70,68,1014.71,9.4,10.4,8.4
2025-07-31T05:00:00Z,67,69,1014.51,7.9,8.6,7.3
2025-07-31T20:00:00Z,37,90,1016.21,14.3,15.0,13.5
2025-07-31T23:30:00Z,49,80,1014.92,7.2,7.7,6.7
2025-07-31T11:00:00Z,70,67,1014.34,9.6,10.3,8.8
2025-07-27T21:30:00Z,40,85,1015.61,3.3,3.6,3.1
2025-07-27T13:00:00Z,67,69,1015.77,8.7,9.3,8.1
2025-06-11T09:00:00Z,64,69,1013.36,33.1,34.1,32.1
2025-06-11T06:00:00Z,61,69,1014.37,19.8,20.2,19.4
2025-06-11T03:30:00Z,58,71,1013.55,15.4,16.3,14.5
2025-05-15T01:30:00Z,52,71,1015.0,8.3,9.0,7.7
2025-05-15T12:00:00Z,61,61,1014.97,12.8,13.7,12.0
2025-05-15T09:00:00Z,60,64,1015.27,13.1,14.1,12.1
2025-05-15T15:00:00Z,39,78,1016.08,13.1,14.0,12.3
2025-05-15T00:30:00Z,46,73,1015.06,7.3,7.8,6.8
2025-05-15T05:30:00Z,55,66,1015.24,10.0,10.5,9.4
2025-07-14T08:30:00Z,64,68,1014.94,9.4,10.2,8.7
2025-07-14T15:30:00Z,57,72,1015.94,37.0,38.1,35.9
2025-05-25T01:00:00Z,44,75,1014.78,9.7,10.3,9.2
2025-05-25T00:30:00Z,43,77,1014.78,9.4,9.9,8.9
2025-05-25T17:00:00Z,41,81,1016.94,9.2,9.8,8.5
2025-05-22T13:00:00Z,65,67,1012.77,35.5,36.7,34.2
2025-05-22T08:30:00Z,66,67,1012.8,19.5,21.1,17.9
2025-06-03T23:00:00Z,53,72,1013.36,7.4,8.0,6.7
2025-06-03T15:00:00Z,56,72,1015.29,8.8,9.6,7.9
2025-06-03T21:30:00Z,43,80,1013.8,6.3,6.7,5.8
2025-06-03T01:30:00Z,51,74,1014.15,6.7,7.1,6.2
2025-06-03T19:00:00Z,45,79,1015.47,7.7,8.1,7.3
2025-06-03T09:30:00Z,57,69,1015.73,9.9,10.8,9.0
2025-05-20T00:00:00Z,50,77,1013.49,11.0,11.5,10.6
2025-05-20T16:00:00Z,29,94,1013.83,15.9,16.8,15.0
2025-06-18T18:30:00Z,30,96,1009.97,7.1,7.8,6.4
2025-06-18T01:00:00Z,50,79,1008.64,10.5,11.2,9.7
2025-06-19T00:00:00Z,40,82,1008.37,6.7,7.1,6.2
2025-06-19T08:30:00Z,64,71,1009.9,9.9,10.8,9.0
2025-06-19T17:00:00Z,34,89,1011.15,16.5,17.5,15.6
2025-06-19T20:30:00Z,36,87,1010.79,9.5,10.1,8.9
2025-06-19T01:30:00Z,51,77,1008.79,7.7,8.4,7.1
2025-05-30T05:00:00Z,60,69,1014.04,14.2,15.0,13.4
2025-07-07T07:00:00Z,62,70,1013.84,12.3,13.2,11.4
2025-07-07T10:00:00Z,59,71,1013.69,20.3,21.2,19.4
2025-07-07T09:30:00Z,60,70,1013.77,21.1,21.9,20.3
2025-07-26T17:30:00Z,38,84,1016.75,3.5,3.8,3.1
2025-07-26T15:00:00Z,55,73,1015.99,5.9,6.3,5.4
2025-07-26T03:30:00Z,65,69,1014.94,3.2,3.5,2.8
2025-07-30T01:30:00Z,56,76,1016.02,14.4,15.0,13.8
2025-07-08T09:30:00Z,66,66,1016.86,6.8,7.3,6.4
2025-07-08T08:30:00Z,65,67,1017.03,6.3,6.9,5.7
2025-05-14T10:30:00Z,61,61,1015.9,6.4,6.8,6.0
2025-05-14T03:00:00Z,56,65,1014.83,7.4,8.1,6.8
2025-05-14T14:00:00Z,51,69,1016.67,10.1,10.7,9.4
2025-06-15T04:00:00Z,64,68,1012.02,16.2,17.3,15.0
